Name,Frequency
mehmet,760
ahmet,604
emre,602
mustafa,599
ali,532
burak,517
merve,514
mert,500
onur,462
murat,446
elif,425
zeynep,408
ömer,353
furkan,352
deniz,351
fatih,335
can,310
gizem,296
hakan,275
büşra,271
yusuf,267
esra,262
hasan,241
kaan,227
batuhan,226
gökhan,221
cem,215
özge,207
irem,201
burcu,200
hüseyin,199
ezgi,197
özlem,196
tolga,196
gamze,194
serkan,194
umut,192
ozan,191
barış,191
seda,191
uğur,189
enes,185
ece,185
osman,182
berkay,180
alper,180
eda,180
oğuzhan,176
ebru,176
kübra,175
eren,172
selin,171
fatma,169
samet,167
tuğçe,165
ceren,162
yunus,161
berk,161
muhammed,160
arda,159
duygu,159
volkan,157
cansu,156
buse,153
ibrahim,153
kadir,151
hilal,150
yiğit,149
ayşe,147
özgür,146
yasin,136
betül,135
halil,135
okan,135
sena,134
beyza,133
damla,132
abdullah,132
dilara,132
yasemin,131
emir,130
melike,129
kerem,129
aslı,128
anıl,127
efe,125
ege,120
alperen,120
yağmur,120
sinan,120
semih,120
ecem,119
ismail,119
tuğba,118
melih,117
sinem,116
melis,116
pınar,116
muhammet,114
erdem,114
